Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95394,AMS,151,Applied Calculus I,QPS,LEC,90,3,MW,3:30 PM,4:50 PM,C103,Kazem Mahdavi
95395,AMS,161,Applied Calculus II,QPS,LEC,90,3,MW,3:30 PM,4:50 PM,C107,Young-seon Lee
95656,AMS,161,Applied Calculus II,QPS,LEC,91,3,TUTH,3:30 PM,4:50 PM,C107,Young-seon Lee
95396,AMS,210,Applied Linear Algebra,STEM+,LEC,90,3,MW,5:00 PM,6:20 PM,C103,Kazem Mahdavi
95397,AMS,261,Applied Calculus III,STEM+,LEC,90,4,MW,3:30 PM,4:50 PM,B204,Tan Cao
95398,AMS,261,Applied Calculus III,STEM+,REC,R90,RECM,12:30 PM,1:25 PM,B204,Tan Cao,
95399,AMS,301,Finite Mathematical Structures,STEM+,LEC,90,3,MW,5:00 PM,6:20 PM,B103,Suil O
95400,AMS,310,Survey of Probability and Stat,STEM+,LEC,90,3,MW,10:30 AM,11:50 AM,B203,MYOUNGSHIC JHUN
95562,AMS,317,Regression Analysis,,LEC,90,3,MW,2:00 PM,3:20 PM,A117,CHANGSOON PARK
95587,AMS,318,Financial Mathematics,WRTD,LEC,90,3,TUTH,5:00 PM,6:20 PM,B205,Ky Tran
95401,AMS,361,Applied Calculus IV: Diff Equ,STEM+,LEC,90,4,MW,2:00 PM,3:20 PM,A312,Tan Cao
95402,AMS,361,Applied Calculus IV: Diff Equ,STEM+,REC,R90,RECF,10:30 AM,11:25 AM,A312,Tan Cao,
95588,AMS,394,Statistical Laboratory,CER; ESI; EXP+,LAB,L90,3,TUTH,10:30 AM,11:50 AM,A115,Hyunwook Koh
95618,AMS,412,Mathematical Statistics,CER; ESI; EXP+,LEC,90,3,MW,3:30 PM,4:50 PM,B206,MYOUNGSHIC JHUN
95509,AMS,475,Undergrad Teachng Practicum,EXP+; SPK,TUT,T90,3,APPT,1:00 AM,1:00 AM,,MYOUNGSHIC JHUN
95517,AMS,476,Undergrad Teaching Practicum,EXP+; SPK,TUT,T90,3,APPT,1:00 AM,1:00 AM,,MYOUNGSHIC JHUN
95518,AMS,487,Research in Applied Mathematic,EXP+; WRTD,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,,MYOUNGSHIC JHUN
95563,AMS,487,Research in Applied Mathematic,EXP+; WRTD,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,,Kazem Mahdavi
